GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,LISTED,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1010587,,2022,McClure River Prep Plant,2079 Herndon Road,McClure,VA,24269,,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
1013481,,2022,Jerry Fork Deep Mine,#3 Jerry Fork Rd,Drennen,WV,26667,,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
1013982,,2022,Black Eagle Deep Mine,101 East Grisley Road,Pettus,WV,25209,,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
1013994,110070931027,2022,Lynn Branch No.2 Mine,1532 Madison Creek Rd,Lyburn,WV,25632,LOGAN COUNTY,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
1013995,110070931048,2022,Davy Branch Mine,222 Shallow Brook Rd,Lyburn,WV,25632,LOGAN COUNTY,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
1014015,,2022,Cedar Grove #2 Mine,"County Route 14, Rum Creek Road",Yolyn,WV,25654,,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
1014681,,2022,Cedar Grove No.3 Mine,"Rt. 10, 119 Cedar Grove Mine Rd",Lyburn,WV,25654,,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,212115
1011082,110069631161,2022,Ivanpah Solar Electric Generating Facility,100302 Yates Well Road,Nipton,CA,92364,SAN BERNARDINO COUNTY,1,ALPHABET INC,1600 Amphitheatre Parkway,Mountain View,CA,94043,28.1,221112
1000413,110070242131,2022,"Alto Pekin, LLC",1300 SOUTH 2ND STREET,PEKIN,IL,61554,Tazewell,1,ALTO INGREDIENTS INC,1300 South 2nd Street,Pekin,IL,61554,100,312140
1004861,110015379455,2022,"Alto ICP, LLC",1301 S FRONT ST,PEKIN,IL,61554,TAZEWELL COUNTY,1,ALTO INGREDIENTS INC,1300 South 2nd Street,Pekin,IL,61554,100,312140
